,Name,Season,Team,WAR
363,Doug Brocail,1992,SDP,8.399999999999999
364,Nelson Cruz,1997,CHW,0.8
365,Octavio Dotel,1999,NYM,14.3
366,Morgan Ensberg,2000,HOU,14.099999999999998
367,Carlos Hernandez,2001,HOU,1.1999999999999997
368,Richard Hidalgo,1997,HOU,21.1
369,Brian Hunter,1994,HOU,5.1
370,Brad Lidge,2002,HOU,11.600000000000001
371,Scott Linebrink,2000,HOU,4.5
372,Julio Lugo,2000,HOU,13.9
373,T.J. Mathews,1995,STL,3.0
374,Wade Miller,1999,HOU,12.599999999999998
375,Dave Mlicki,1992,CLE,8.7
376,C.J. Nitkowski,1995,CIN,0.7
377,Roy Oswalt,2001,HOU,52.4
378,Tim Redding,2001,HOU,4.6000000000000005
379,Shane Reynolds,1992,HOU,32.300000000000004
380,Jose Vizcaino,1989,LAD,4.9
381,Billy Wagner,1995,HOU,23.900000000000002
382,Gregg Zaun,1995,BAL,16.1
383,Jeremy Affeldt,2002,KCR,5.499999999999999
384,Luis Alicea,1988,STL,9.500000000000002
385,Danny Ardoin,2000,MIN,0.30000000000000004
386,Miguel Asencio,2002,KCR,1.1
387,Cory Bailey,1993,BOS,1.4000000000000001
388,Carlos Beltran,1998,KCR,68.00000000000001
389,Paul Byrd,1995,NYM,15.499999999999998
390,Jeremy Horst,2011,CIN,0.49999999999999994
391,Carlos Febles,1998,KCR,0.7999999999999996
392,Chris George,2001,KCR,0.8
393,Jason Grimsley,1989,PHI,5.300000000000001
394,Roberto Hernandez,1991,CHW,14.4
395,A.J. Hinch,1998,OAK,0.09999999999999998
396,Raul Ibanez,1996,SEA,19.3
397,Chuck Knoblauch,1991,MIN,39.80000000000001
398,Mike MacDougal,2001,KCR,2.6
399,Darrell May,1995,ATL,3.2999999999999994
400,Brent Mayne,1990,KCR,5.2
401,Cole Garner,2011,COL,0.0
402,Orber Moreno,1999,KCR,0.8
403,Mark Quinn,1999,KCR,2.2
404,Joe Randa,1995,KCR,20.3
405,Dan Reichert,1999,KCR,2.1
406,Bryan Rekar,1995,COL,5.7
407,Brandon Barnes,2012,HOU,0.5
408,Brian Shouse,1993,PIT,2.4
409,Blake Stein,1998,OAK,0.7
410,Jeff Suppan,1995,BOS,22.2
411,Mike Sweeney,1995,KCR,21.1
412,Michael Tucker,1995,KCR,10.099999999999998
413,Andy Ashby,1991,PHI,21.700000000000003
414,Adrian Beltre,1998,LAD,84.10000000000001
415,Kevin Brown,1986,TEX,76.0
416,Omar Daal,1993,LAD,13.3
417,Darren Dreifort,1994,LAD,14.100000000000001
418,Eric Gagne,1999,LAD,14.0
